,lon,lat,angle,norm,pid_sub,pid_over,length,total_vel,vel,trench_vel,slab_vel_abs,slab_flux,slab_age,spreading_rate,slab_thickness,vratio,slab_dip,trench_ID,Name,Type,Class,density,relative_density
1016,-77.11261622160859,-50.38609506919569,21.527294544192262,80.18517587010479,802.0,201.0,42099.80497802237,0.0203595032873519,0.0189392827430083,0.016406526913127,0.0352991033014354,1977.2279856069083,183.4076655919257,0.0366709571763749,104398.25057983398,1.0,,26,Ecuador,Ocean - Continent,Erosive,3314.2802325304383,14.280232530438298
1017,-77.11261622160859,-50.38609506919569,21.527294544192262,80.18517587010479,802.0,201.0,42099.80497802237,0.0203595032873519,0.0189392827430083,0.016406526913127,0.0352991033014354,1977.2279856069083,183.4076655919257,0.0366709571763749,104398.25057983398,1.0,,26,South America,Ocean - Continent,Erosive,3314.2802325304383,14.280232530438298
1018,-77.11261622160859,-50.38609506919569,21.527294544192262,80.18517587010479,802.0,201.0,42099.80497802237,0.0203595032873519,0.0189392827430083,0.016406526913127,0.0352991033014354,1977.2279856069083,183.4076655919257,0.0366709571763749,104398.25057983398,1.0,,26,South Chile,Ocean - Continent,Accretionary,3314.2802325304383,14.280232530438298
1019,-77.21304892823191,-50.01298089668464,21.37008878402497,80.26233656254583,802.0,201.0,42099.80497802237,0.0205021876907511,0.0190925838172497,0.0160554405106993,0.0350991388073952,1992.1171030269736,181.84186377657068,0.0382726496071913,104339.8380279541,1.0,,26,Ecuador,Ocean - Continent,Erosive,3314.2656411685894,14.265641168589354
1020,-77.21304892823191,-50.01298089668464,21.37008878402497,80.26233656254583,802.0,201.0,42099.80497802237,0.0205021876907511,0.0190925838172497,0.0160554405106993,0.0350991388073952,1992.1171030269736,181.84186377657068,0.0382726496071913,104339.8380279541,1.0,,26,South America,Ocean - Continent,Erosive,3314.2656411685894,14.265641168589354
1021,-77.21304892823191,-50.01298089668464,21.37008878402497,80.26233656254583,802.0,201.0,42099.80497802237,0.0205021876907511,0.0190925838172497,0.0160554405106993,0.0350991388073952,1992.1171030269736,181.84186377657068,0.0382726496071913,104339.8380279541,1.0,,26,South Chile,Ocean - Continent,Accretionary,3314.2656411685894,14.265641168589354
1022,-77.337910015491,-49.647263995604526,26.713841245999667,74.84304168519353,802.0,201.0,41277.54866623457,0.0206399495512726,0.0184368994971158,0.0171508489586987,0.035432385549439,1937.246257060029,206.0,0.0373799189280235,105074.40567016602,1.0,,26,Ecuador,Ocean - Continent,Erosive,3314.4466650347813,14.44666503478129
1023,-77.337910015491,-49.647263995604526,26.713841245999667,74.84304168519353,802.0,201.0,41277.54866623457,0.0206399495512726,0.0184368994971158,0.0171508489586987,0.035432385549439,1937.246257060029,206.0,0.0373799189280235,105074.40567016602,1.0,,26,South America,Ocean - Continent,Erosive,3314.4466650347813,14.44666503478129
1024,-77.337910015491,-49.647263995604526,26.713841245999667,74.84304168519353,802.0,201.0,41277.54866623457,0.0206399495512726,0.0184368994971158,0.0171508489586987,0.035432385549439,1937.246257060029,206.0,0.0373799189280235,105074.40567016602,1.0,,26,South Chile,Ocean - Continent,Accretionary,3314.4466650347813,14.44666503478129
1025,-77.48671815506346,-49.288864194691406,26.529447519882865,74.95614297710216,802.0,201.0,41277.54866634375,0.020772899250721,0.0185856151059973,0.0168052123217314,0.03523333653148,1952.8724612771296,206.0,0.0373799189280235,105074.40567016602,1.0,,26,Ecuador,Ocean - Continent,Erosive,3314.4466650347813,14.44666503478129
